id,lon,lat,name,type,category
4985,22.21515,40.50975,K.L. PÜTRAS/FYLAKIO,LIMENAR×EIO,Oher public buildings
4986,21.75392,38.19265,K.L. PÜTRAS A´L/T RßOY,LIMENAR×EIO,Oher public buildings
4987,23.74523,38.14422,K.L. PÜTRAS B´ L/T/,LIMENAR×EIO,Oher public buildings
4988,22.50866,40.27148,K.L. PÜTRAS B´ L/T/ FYLAKIO NO3,LIMENAR×EIO,Oher public buildings
4989,23.70455,38.03946,K.L. PÜTRAS B´ L/T/ FYLAKIO NO7,LIMENAR×EIO,Oher public buildings
4990,22.93517,40.63519,K.L. PÜTRAS B´ L/T/ FYLAKIO NO9,LIMENAR×EIO,Oher public buildings
4991,21.67712,37.9471,K.L. PÜTRAS B´ L/T/GR. MARINAS,LIMENAR×EIO,Oher public buildings
4992,23.83375,38.04172,K.L. PÜTRAS B´L/T/ GR. ICHTHYOSKALAS,LIMENAR×EIO,Oher public buildings
4993,22.08333,38.25,Y/CH AIGßOY,LIMENAR×EIO,Oher public buildings
4994,20.84014,39.67449,PERIFERIAKI DIOIKISI PYROSBESTIKÏN YPIRESIÏN DYTIKIS ELLADAS,PYROSBESTIKI,Fire department
4995,20.74889,40.04546,1OS PYROSBESTIKOS STATHMOS PATRÏN,PYROSBESTIKI,Fire department
4996,21.7412,38.25153,2OS PYROSBESTIKOS STATHMOS PATRÏN,PYROSBESTIKI,Fire department
4997,20.26553,39.50615,PYROSBESTIKOS STATHMOS BI.PE. PATRÏN,PYROSBESTIKI,Fire department
4998,22.79121,37.96168,PYROSBESTIKI YPIRESIA AIGIOY,PYROSBESTIKI,Fire department
4999,23.69786,38.04205,PYROSBESTIKI YPIRESIA KALABRYTÏN,PYROSBESTIKI,Fire department
5000,20.39943,39.28525,PYROSBESTIKO KLIMAKIO CHALANDRITSAS,PYROSBESTIKI,Fire department
5001,22.41993,39.6321,PYROSBESTIKO KLIMAKIO AKRATAS,PYROSBESTIKI,Fire department
5002,28.22701,36.44323,ASTYN. D/NSI DÏDEKANISOY,ASTYNOMIA,Police station
5003,22.95236,39.36247,YPOD/NSI ASFALEIAS DÏD/NISOY,ASTYNOMIA,Police station
5004,23.72961,37.98488,A.T. KALYMNOY DÏDEKANISOY,ASTYNOMIA,Police station
5005,23.79767,38.03034,A.T. PATMOY DÏDEKANISOY,ASTYNOMIA,Police station
5006,26.8568,37.15344,A.T. LEROY DÏDEKANISOY,ASTYNOMIA,Police station
5007,27.83774,36.61287,A.T. SYMIS DÏDEKANISOY,ASTYNOMIA,Police station
5008,27.21307,35.50687,A.T. KARPATHOY DÏDEKANISOY,ASTYNOMIA,Police station
