lon,lat,vs30,Coef,Zone_EC8,PGA_EC8,Soil_EC8
25.78213,41.1,514.2256,0.1,1,0.16,B
25.78213,41,525.8215,0.1,1,0.16,B
25.88213,41.3,652.09424,0.1,1,0.16,B
25.88213,41.2,581.95685,0.1,1,0.16,B
25.88213,41.1,454.62183,0.1,1,0.16,B
25.88213,41,510.5136,0.1,1,0.16,B
25.98213,41.3,597.57477,0.1,1,0.16,B
25.98213,41.2,607.8813,0.1,1,0.16,B
25.98213,41.1,679.33044,0.1,1,0.16,B
25.98213,41,439.7842,0.1,1,0.16,B
26.08213,41.7,589.4334,0.1,1,0.16,B
26.08213,41.3,415.27618,0.1,1,0.16,B
26.08213,41.2,460.31512,0.1,1,0.16,B
26.08213,41.1,504.96985,0.1,1,0.16,B
26.08213,41,450.61517,0.1,1,0.16,B
26.18213,41.7,343.48062,0.1,1,0.16,C
26.18213,41.6,531.6482,0.1,1,0.16,B
26.18213,41.5,349.09006,0.1,1,0.16,C
26.18213,41.4,511.4822,0.1,1,0.16,B
26.18213,41.3,488.13184,0.1,1,0.16,B
26.18213,41.2,461.57864,0.1,1,0.16,B
26.18213,41.1,468.09088,0.1,1,0.16,B
26.18213,41,425.72757,0.1,1,0.16,B
26.28213,41.7,281.88666,0.1,1,0.16,C
26.28213,41.6,264.5237,0.1,1,0.16,C
26.28213,41.5,428.61676,0.1,1,0.16,B
26.28213,41.4,420.8499,0.1,1,0.16,B
26.28213,41.3,506.51605,0.1,1,0.16,B
26.28213,41.2,359.75055,0.1,1,0.16,C
26.28213,41.1,524.49316,0.1,1,0.16,B
26.28213,41,258.84586,0.1,1,0.16,C
26.38213,41.6,246.73074,0.1,1,0.16,C
26.38213,41.5,414.65308,0.1,1,0.16,B
26.38213,41.4,284.9665,0.1,1,0.16,C
26.38213,41.3,362.65942,0.1,1,0.16,B
26.48213,41.6,300.9268,0.1,1,0.16,C
26.48213,41.5,303.2201,0.1,1,0.16,C
26.48213,41.4,430.74503,0.1,1,0.16,B
26.58213,41.6,216.03682,0.1,1,0.16,C
26.58213,41.5,198.01407,0.1,1,0.16,C
26.58213,41.4,376.7951,0.1,1,0.16,B
25.68213,40.9,419.85242,0.1,1,0.16,B
25.78213,40.9,585.03033,0.1,1,0.16,B
25.88213,40.9,622.2613,0.1,1,0.16,B
25.98213,40.9,355.3339,0.1,1,0.16,C
26.08213,40.9,426.62698,0.1,1,0.16,B
26.08213,40.8,191.20421,0.1,1,0.16,C
26.18213,40.9,407.7043,0.1,1,0.16,B
26.28213,40.9,203.10474,0.1,1,0.16,C
21.08213,40.2,657.2567,0.1,1,0.16,B
21.08213,40.1,496.1115,0.1,1,0.16,B
21.08213,40,884.05634,0.1,1,0.16,A
21.18213,40.3,575.0459,0.1,1,0.16,B
21.18213,40.2,548.3538,0.1,1,0.16,B
21.18213,40.1,594.6101,0.1,1,0.16,B
21.18213,40,614.721,0.1,1,0.16,B
21.18213,39.9,656.4142,0.1,1,0.16,B
21.18213,39.7,802.48956,0.1,1,0.16,A
21.28213,40.3,434.75583,0.1,1,0.16,B
21.28213,40.2,540.4205,0.1,1,0.16,B
21.28213,40.1,489.8016,0.1,1,0.16,B
21.28213,40,760.1942,0.1,1,0.16,B
21.28213,39.9,550.7056,0.1,1,0.16,B
