lon,lat,slope,geology,vs30
22.68213,40.6,0.001292191,PLEISTOCENE,206.05305
22.78213,41.3,0.2602675,PRECAMBRIAN,870.23193
22.78213,41.2,0.010157986,PLEISTOCENE,381.35892
22.78213,41.1,0.006514586,PLEISTOCENE,314.5172
22.78213,41,0.006973867,PLEISTOCENE,288.23492
22.78213,40.9,0.035602663,PLEISTOCENE,451.8219
22.78213,40.8,0.0324169,CRETACEOUS,448.776
22.88213,41.3,0.13383752,PLEISTOCENE,743.8723
22.88213,41.2,0.07331586,PRECAMBRIAN,636.9237
22.88213,41.1,0.028011171,PRECAMBRIAN,429.6218
22.88213,41,0.019214155,CENOZOIC,334.5052
22.88213,40.9,0.011758636,CRETACEOUS,321.573
22.98213,41.3,0.19741607,PRECAMBRIAN,892.6283
22.98213,41.2,0.070928685,PRECAMBRIAN,630.0382
22.98213,41.1,0.019501623,PALEOZOIC,367.66232
22.98213,41,0.0457735,PRECAMBRIAN,489.0121
23.08213,41.3,0.35043702,PRECAMBRIAN,900
23.08213,41.2,0.048762135,PRECAMBRIAN,482.02234
23.08213,41.1,0.11224405,PRECAMBRIAN,566.28107
23.18213,41.3,0.33536467,PRECAMBRIAN,900
23.18213,41.2,0.000717193,PLEISTOCENE,401.11386
23.18213,41.1,0.099344246,PRECAMBRIAN,652.04315
23.28213,41.3,0.16821991,PRECAMBRIAN,784.89813
23.28213,41.2,0.001795022,PLEISTOCENE,225.00256
23.28213,41.1,0.005204499,PLEISTOCENE,266.06384
23.28213,41,0.066575244,PRECAMBRIAN,542.6259
23.38213,41.3,0.1205019,PRECAMBRIAN,732.9933
23.38213,41.2,0.025838576,PLEISTOCENE,404.6352
23.38213,41.1,0.001618777,PLEISTOCENE,215.43037
23.38213,41,0.010905396,CRETACEOUS,312.67896
23.38213,40.9,0.0960848,PRECAMBRIAN,658.4231
23.48213,41.3,0.0753822,CRETACEOUS,519.0054
23.48213,41.2,0.1612166,JURASSIC-TRIASSIC,663.3203
23.48213,41.1,0.036630888,PLEISTOCENE,424.38855
23.48213,41,0.000715012,PLEISTOCENE,190.31905
23.48213,40.9,0.04482569,CRETACEOUS,478.62097
23.58213,41.3,0.102968596,JURASSIC-TRIASSIC,649.147
23.58213,41.2,0.13084684,JURASSIC-TRIASSIC,644.9143
23.58213,41.1,0.08205464,CRETACEOUS,579.2587
23.58213,41,0.000539592,PLEISTOCENE,197.83527
23.58213,40.9,0.017918985,PLEISTOCENE,377.0756
23.68213,41.2,0.38454384,PRECAMBRIAN,900
23.68213,41.1,0.12025973,CRETACEOUS,674.9214
23.68213,41,0.007170452,PLEISTOCENE,284.1407
23.68213,40.9,0.010830605,CRETACEOUS,303.141
23.68213,40.8,0.08799976,PRECAMBRIAN,649.7247
23.78213,41.1,0.09596047,PRECAMBRIAN,706.2539
23.78213,41,0.021599555,PLEISTOCENE,386.72586
23.78213,40.9,0.005062415,PLEISTOCENE,263.72015
23.78213,40.8,0.016149042,PALEOZOIC,449.49918
23.88213,41.1,0.14047517,PRECAMBRIAN,814.409
23.88213,41,0.05682598,CRETACEOUS,510.374
23.88213,40.9,0.03830099,CRETACEOUS,432.1751
23.88213,40.8,0.09683852,PLEISTOCENE,623.58765
23.98213,41.1,0.022081066,CRETACEOUS,372.54938
23.98213,41,0.061790165,CRETACEOUS,493.84875
23.98213,40.9,0.21317872,PRECAMBRIAN,872.01434
24.08213,41,0.027587086,PLEISTOCENE,404.35416
25.08213,39.9,0.051905494,CRETACEOUS,557.7844
25.18213,39.9,0.050771154,CRETACEOUS,485.01266
25.28213,39.9,0.017648518,CRETACEOUS,356.67236
25.38213,40,0.023651091,CRETACEOUS,398.08728
25.58213,40.5,0.094331816,PRECAMBRIAN,672.38385
25.58213,40.4,0.16182981,CRETACEOUS,799.0374
25.58213,38.6,0.13578366,PRECAMBRIAN,693.91046
25.88213,39.2,0.040751904,CRETACEOUS,416.5789
25.88213,38.5,0.0702367,PLEISTOCENE,537.9589
25.98213,39.2,0.113632314,CRETACEOUS,631.30554
25.98213,38.5,0.047649078,PLEISTOCENE,547.48645
25.98213,38.4,0.20732081,JURASSIC-TRIASSIC,847.96075
25.98213,38.3,0.07756347,JURASSIC-TRIASSIC,580.6616
25.98213,38.2,0.020628305,JURASSIC-TRIASSIC,428.86414
26.08213,39.3,0.09496313,UNKNOWN,623.9302
26.08213,39.2,0.16104144,CRETACEOUS,763.79346
26.08213,39.1,0.07837862,CRETACEOUS,575.36255
26.08213,38.5,0.14818302,JURASSIC-TRIASSIC,637.07666
26.08213,38.4,0.015143445,JURASSIC-TRIASSIC,619.032
26.08213,38.3,0.119942926,CRETACEOUS,663.1023
26.18213,39.3,0.17319371,CRETACEOUS,760.82947
26.18213,39.2,0.03358848,PLEISTOCENE,381.53314
26.18213,39.1,0.050068345,PLEISTOCENE,476.90933
26.28213,39.3,0.08272271,CRETACEOUS,630.5639
26.28213,39.2,0.050327875,PLEISTOCENE,451.96158
26.28213,39.1,0.117134914,JURASSIC-TRIASSIC,650.8781
26.28213,38.5,0.03195759,UNKNOWN,455.44867
26.38213,39.3,0.026051708,CRETACEOUS,431.9951
26.38213,39.2,0.056095075,JURASSIC-TRIASSIC,494.82663
26.38213,39.1,0.083061434,PALEOZOIC,647.1979
26.38213,39,0.21013838,PALEOZOIC,823.5874
26.48213,39.2,0.086932674,PALEOZOIC,551.84314
26.48213,39,0.07977106,PALEOZOIC,542.1489
26.48213,37.6,0.056637004,UNKNOWN,551.237
26.78213,37.8,0.33165628,PRECAMBRIAN,894.511
26.78213,37.7,0.20688352,PRECAMBRIAN,838.8667
26.78213,37.3,0.0443297,UNKNOWN,448.12024
26.88213,37.7,0.11672014,PLEISTOCENE,640.7099
26.98213,37,0.050631456,JURASSIC-TRIASSIC,516.0582
27.08213,36.8,0.021070616,CENOZOIC,372.84167
27.28213,36.9,0.003307129,PLEISTOCENE,253.02173
20.78213,40.3,0.11968165,JURASSIC-TRIASSIC,743.80493
20.78213,40.2,0.31430164,JURASSIC-TRIASSIC,900
20.88213,40.4,0.0415046,JURASSIC-TRIASSIC,620.8695
20.88213,40.3,0.227249,JURASSIC-TRIASSIC,884.3366
20.88213,40.2,0.16279997,JURASSIC-TRIASSIC,886.60864
